"Date,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle"
"2021-07-01,06:02,Thursday,MCCOWAN STATION,TRNIP,6,12,S,SRT,3004"
"2021-07-01,03:59,Thursday,ST GEORGE YUS STATION,MUO,0,0,S,YU,0"
"2021-07-01,06:10,Thursday,DUNDAS WEST STATION,MUSC,0,0,E,BD,5158"
"2021-07-01,15:45,Thursday,SCARBOROUGH RAPID TRAN,MRWEA,0,0,,SRT,0"
"2021-07-01,08:56,Thursday,EGLINTON STATION,TUNIP,5,10,N,YU,5846"
"2021-07-01,09:24,Thursday,SHEPPARD STATION,MUDD,5,10,N,YU,5386"
"2021-07-01,10:01,Thursday,DUFFERIN STATION,EUNT,3,8,W,BD,5209"
"2021-07-01,10:26,Thursday,VAUGHAN MC STATION,MUTO,4,10,S,YU,5841"
"2021-07-01,10:58,Thursday,VAUGHAN MC STATION,EUPI,6,12,S,YU,5746"
"2021-07-01,11:27,Thursday,ROSEDALE STATION,MUATC,6,11,S,YU,5636"
"2021-07-01,11:53,Thursday,FINCH WEST STATION,SUPOL,7,12,S,YU,5666"
"2021-07-01,12:22,Thursday,UNION STATION,MUPAA,4,9,N,YU,5691"
"2021-07-01,13:10,Thursday,DONLANDS STATION,SUAE,0,0,W,BD,5148"
"2021-07-01,13:27,Thursday,LAWRENCE WEST STATION,SUDP,0,0,,YU,0"
"2021-07-01,14:46,Thursday,BLOOR STATION,SUDP,4,9,S,YU,5521"
"2021-07-01,15:24,Thursday,WILSON STATION,SUAP,6,11,N,YU,5521"
"2021-07-01,15:56,Thursday,UNION STATION,PUMEL,0,0,,YU,0"
"2021-07-01,16:12,Thursday,YORK MILLS STATION,MUIR,12,17,S,YU,5476"
"2021-07-01,16:42,Thursday,FINCH STATION,TUSC,0,0,S,YU,5481"
"2021-07-01,17:51,Thursday,KENNEDY BD STATION,MUIS,0,0,,BD,0"
"2021-07-01,18:06,Thursday,QUEEN'S PARK STATION,EUDO,5,10,N,YU,5561"
"2021-07-01,18:11,Thursday,MUSEUM STATION,EUDO,3,8,N,YU,5561"
"2021-07-01,18:27,Thursday,DUPONT STATION,SUDP,11,16,N,YU,5436"
"2021-07-01,19:51,Thursday,CHESTER STATION,MUI,13,19,W,BD,5242"
"2021-07-01,20:19,Thursday,COLLEGE STATION,PUMEL,0,0,,YU,0"
"2021-07-01,22:00,Thursday,YONGE-UNIVERSITY AND B,MUO,0,0,,YU/BD,0"
"2021-07-01,22:12,Thursday,WELLESLEY STATION,PUMEL,0,0,,YU,0"
"2021-07-01,22:59,Thursday,FINCH STATION,MUNOA,7,14,S,YU,5516"
"2021-07-01,23:23,Thursday,MAIN STREET STATION,SUDP,0,0,E,BD,5141"
"2021-07-01,00:35,Thursday,YORK MILLS STATION,MUSAN,7,14,N,YU,5696"
"2021-07-01,00:40,Thursday,ST CLAIR STATION,MUIS,0,0,,YU,0"
"2021-07-01,05:55,Thursday,BAYVIEW STATION,TUNIP,4,0,E,SHP,6181"
"2021-07-01,15:16,Thursday,SHEPPARD-YONGE STATION,MUSC,0,0,W,SHP,6176"
"2021-07-01,23:05,Thursday,SHEPPARD-YONGE STATION,MUPAA,3,9,E,SHP,6181"
"2021-07-02,05:05,Friday,QUEEN STATION,MUNCA,0,0,,YU,0"
"2021-07-02,06:00,Friday,TORONTO TRANSIT COMMIS,MRO,0,0,,SRT,0"
"2021-07-02,06:00,Friday,TORONTO TRANSIT COMMIS,MUO,0,0,,YU,0"
"2021-07-02,06:48,Friday,BROADVIEW STATION,EUDO,3,7,E,BD,5265"
"2021-07-02,07:09,Friday,MAIN STREET STATION,MUD,3,7,W,BD,5077"
