Date,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle
2021-08-01,05:35,Sunday,VMC TO ST GEORGE STATI,MUO,0,0,,YU,0
2021-08-01,07:36,Sunday,YORK UNIVERSITY STATIO,PUOPO,6,12,N,YU,6121
2021-08-01,08:00,Sunday,VMC TO ST GEORGE STATI,MUO,0,0,,YU,0
2021-08-01,08:32,Sunday,KENNEDY BD STATION,MUIE,0,0,W,BD,5023
2021-08-01,08:47,Sunday,EGLINTON STATION,MUCL,6,12,N,YU,5671
2021-08-01,09:13,Sunday,ST GEORGE YUS STATION,MUO,5,10,N,YU,5976
2021-08-01,09:21,Sunday,WILSON STATION,MUWR,5,10,S,YU,6061
2021-08-01,09:50,Sunday,DUNDAS WEST STATION,MUIS,0,0,,BD,0
2021-08-01,10:00,Sunday,SPADINA YUS STATION,PUOPO,7,12,N,YU,5676
2021-08-01,10:09,Sunday,DUPONT STATION,PUOPO,5,10,N,YU,5676
2021-08-01,10:15,Sunday,ST GEORGE YUS STATION,PUOPO,10,15,N,YU,5701
2021-08-01,10:53,Sunday,COLLEGE STATION,MUPAA,4,9,S,YU,6066
2021-08-01,11:06,Sunday,DUPONT STATION,MUI,3,8,N,YU,5426
2021-08-01,12:54,Sunday,HIGH PARK STATION,MUO,0,0,,BD,0
2021-08-01,13:06,Sunday,EGLINTON STATION,SUO,0,0,,YU,0
2021-08-01,13:52,Sunday,BROADVIEW STATION,SUDP,4,9,E,BD,5180
2021-08-01,13:53,Sunday,YORK MILLS STATION,SUDP,0,0,S,YU,5741
2021-08-01,14:01,Sunday,WOODBINE STATION,SUDP,12,17,E,BD,5248
2021-08-01,14:01,Sunday,BAY STATION,PUSRA,4,9,E,BD,5132
2021-08-01,17:10,Sunday,SUMMERHILL STATION,SUDP,4,9,N,YU,5991
2021-08-01,17:42,Sunday,ST CLAIR WEST STATION,TUO,5,10,S,YU,6081
2021-08-01,18:11,Sunday,ISLINGTON STATION,SUDP,0,0,E,BD,5131
2021-08-01,18:17,Sunday,ROSEDALE STATION,SUDP,0,0,,YU,0
2021-08-01,19:56,Sunday,EGLINTON STATION,MUSAN,7,14,N,YU,5991
2021-08-01,20:23,Sunday,UNION STATION,MUIS,0,0,,YU,0
2021-08-01,21:57,Sunday,BAY STATION,MUO,12,19,E,BD,5156
