KIPLING,43.6369,-79.5365
ISLINGTON,43.6453,-79.5238
ROYAL YORK,43.6484,-79.511
OLD MILL,43.6516,-79.4942
JANE,43.6498,-79.4836
RUNNYMEDE,43.6516,-79.4752
HIGH PARK,43.6536,-79.4663
KEELE,43.655,-79.4594
DUNDAS WEST,43.6569,-79.4526
LANSDOWNE,43.6591,-79.4425
DUFFERIN,43.6609,-79.4357
OSSINGTON,43.6628,-79.4258
CHRISTIE,43.6645,-79.4183
BATHURST,43.6663,-79.4113
SPADINA,43.6677,-79.403
ST. GEORGE,43.6683,-79.3987
BAY,43.6706,-79.3925
BLOOR-YONGE,43.67,-79.3854
SHERBOURNE,43.6726,-79.3766
CASTLE FRANK,43.6746,-79.368
BROADVIEW,43.6768,-79.3578
CHESTER,43.6784,-79.3527
PAPE,43.6798,-79.3456
DONLANDS,43.681,-79.3379
GREENWOOD,43.6824,-79.3301
COXWELL,43.684,-79.323
WOODBINE,43.6861,-79.3139
MAIN STREET,43.6884,-79.3018
VICTORIA PARK,43.6955,-79.2878
WARDEN,43.7111,-79.2756
KENNEDY,43.7323,-79.2655
